,,10.0 cp ,10.0 cp ,10.0 cp ,10.0 cp ,10.0 cp ,10.0 cp ,10.0 cp ,10.0 cp ,10.0 cp ,10.0 cp ,10.0 cp ,10.0 cp ,10.0 cp ,10.0 cp ,10.0 cp ,100.0 cp ,100.0 cp ,100.0 cp ,100.0 cp ,100.0 cp ,100.0 cp ,100.0 cp ,100.0 cp ,100.0 cp ,100.0 cp ,100.0 cp ,100.0 cp ,100.0 cp ,100.0 cp ,100.0 cp ,1000.0 cp ,1000.0 cp ,1000.0 cp ,1000.0 cp ,1000.0 cp ,1000.0 cp ,1000.0 cp ,1000.0 cp ,1000.0 cp ,1000.0 cp ,1000.0 cp ,1000.0 cp ,1000.0 cp ,1000.0 cp ,1000.0 cp ,10000.0 cp ,10000.0 cp ,10000.0 cp ,10000.0 cp ,10000.0 cp ,10000.0 cp ,10000.0 cp ,10000.0 cp ,10000.0 cp ,10000.0 cp ,10000.0 cp ,10000.0 cp ,10000.0 cp ,10000.0 cp ,10000.0 cp ,50.0 ng HgDNA ,50.0 ng HgDNA ,50.0 ng HgDNA ,50.0 ng HgDNA ,50.0 ng HgDNA ,50.0 ng HgDNA ,50.0 ng HgDNA ,50.0 ng HgDNA ,50.0 ng HgDNA ,50.0 ng HgDNA ,50.0 ng HgDNA ,50.0 ng HgDNA ,50.0 ng HgDNA ,50.0 ng HgDNA ,50.0 ng HgDNA ,500.0 ng HgDNA ,500.0 ng HgDNA ,500.0 ng HgDNA ,500.0 ng HgDNA ,500.0 ng HgDNA ,500.0 ng HgDNA ,500.0 ng HgDNA ,500.0 ng HgDNA ,500.0 ng HgDNA ,500.0 ng HgDNA ,500.0 ng HgDNA ,500.0 ng HgDNA ,500.0 ng HgDNA ,500.0 ng HgDNA ,500.0 ng HgDNA ,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,Common,Common
,,#Ct Pos,#Ct Valid,#Tm NS,#Tm PD,#Tm Specif,ID Template Name,Max Ct,Max Tm1,Mean Ct,Mean NS ng/ul,Mean PD ng/ul,Mean Specif ng/ul,Min Ct,Min Tm1,Specif ng/ul Pos,#Ct Pos,#Ct Valid,#Tm NS,#Tm PD,#Tm Specif,ID Template Name,Max Ct,Max Tm1,Mean Ct,Mean NS ng/ul,Mean PD ng/ul,Mean Specif ng/ul,Min Ct,Min Tm1,Specif ng/ul Pos,#Ct Pos,#Ct Valid,#Tm NS,#Tm PD,#Tm Specif,ID Template Name,Max Ct,Max Tm1,Mean Ct,Mean NS ng/ul,Mean PD ng/ul,Mean Specif ng/ul,Min Ct,Min Tm1,Specif ng/ul Pos,#Ct Pos,#Ct Valid,#Tm NS,#Tm PD,#Tm Specif,ID Template Name,Max Ct,Max Tm1,Mean Ct,Mean NS ng/ul,Mean PD ng/ul,Mean Specif ng/ul,Min Ct,Min Tm1,Specif ng/ul Pos,#Ct Pos,#Ct Valid,#Tm NS,#Tm PD,#Tm Specif,ID Template Name,Max Ct,Max Tm1,Mean Ct,Mean NS ng/ul,Mean PD ng/ul,Mean Specif ng/ul,Min Ct,Min Tm1,Specif ng/ul Pos,#Ct Pos,#Ct Valid,#Tm NS,#Tm PD,#Tm Specif,ID Template Name,Max Ct,Max Tm1,Mean Ct,Mean NS ng/ul,Mean PD ng/ul,Mean Specif ng/ul,Min Ct,Min Tm1,Specif ng/ul Pos,#Ct Pos,#Ct Valid,#Tm NS,#Tm PD,#Tm Specif,ID Template Name,Max Ct,Max Tm1,Mean Ct,Mean NS ng/ul,Mean PD ng/ul,Mean Specif ng/ul,Min Ct,Min Tm1,Specif ng/ul Pos,Efficiency,R Squared
A81_E303_1,AMR_NDM_10.x_NDM31_NDM39,4 | 4,4 | 4,0 | 4,0 | 4,4 | 4,K.pneumoniae-NDM_2146,33.0945739746094,92.8738250732422,32.52291393280031,0.0,2.27041775,13.567230729999999,32.0640106201172,92.7368469238281,2 | 2,2 | 2,2 | 2,0 | 2,0 | 2,2 | 2,K.pneumoniae-NDM_2146,29.4607620239258,92.7368469238281,29.369029998779297,0.0,1.60214824,25.388933480000002,29.2772979736328,92.5998764038086,1 | 1,2 | 2,2 | 2,0 | 2,0 | 2,2 | 2,K.pneumoniae-NDM_2146,25.9394950866699,92.5998764038086,25.86638259887695,0.0,0.0,35.95375971,25.793270111084,92.5998764038086,1 | 1,2 | 2,2 | 2,0 | 2,0 | 2,2 | 2,K.pneumoniae-NDM_2146,22.6223945617676,92.5998764038086,22.6110601425171,0.0,0.0,32.538876980000005,22.5997257232666,92.5998764038086,1 | 1,0 | 2,0 | 2,2 | 2,2 | 2,0 | 2,,nan,83.6967163085938,nan,0.0,2.22600718,0.0,nan,82.737907409668,0 | 1,0 | 2,0 | 2,2 | 2,2 | 2,0 | 2,,nan,89.4495239257812,nan,0.0,2.19510324,0.0,nan,65.7534103393555,0 | 1,0 | 2,0 | 2,1 | 2,1 | 2,0 | 2,,nan,84.655517578125,nan,0.0,2.20733938,0.0,nan,60.0005989074707,0 | 1,99.92107169500632,0.9996319438345199
A81_E303_1,AMR_NDM_12.x_NDM32_NDM39,4 | 4,4 | 4,0 | 4,0 | 4,4 | 4,K.pneumoniae-NDM_2146,33.4143867492676,92.7368469238281,32.81690406799315,0.206305075,2.008605725,12.96394727,31.8345260620117,92.5998764038086,2 | 2,2 | 2,2 | 2,0 | 2,0 | 2,2 | 2,K.pneumoniae-NDM_2146,28.6498832702637,92.5998764038086,28.4414863586426,0.0,1.03323763,35.44781601,28.2330894470215,92.5998764038086,1 | 1,2 | 2,2 | 2,0 | 2,0 | 2,2 | 2,K.pneumoniae-NDM_2146,25.5702152252197,92.5998764038086,25.4157257080078,0.0,0.0,44.55596993,25.2612361907959,92.5998764038086,1 | 1,2 | 2,2 | 2,0 | 2,0 | 2,2 | 2,K.pneumoniae-NDM_2146,22.2153205871582,92.5998764038086,22.1267375946045,0.0,0.0,52.74639846,22.0381546020508,92.5998764038086,1 | 1,0 | 2,1 | 2,2 | 2,2 | 2,0 | 2,,38.9971885681152,83.5597381591797,38.9971885681152,0.0,4.4670821,0.0,38.9971885681152,77.9438934326172,0 | 1,0 | 2,0 | 2,2 | 2,2 | 2,0 | 2,,nan,89.0386047363281,nan,0.0,1.66094186,0.0,nan,68.9037628173828,0 | 1,0 | 2,0 | 2,1 | 2,2 | 2,0 | 2,,nan,89.9974136352539,nan,0.0,1.9603024199999999,0.0,nan,60.0005989074707,0 | 1,92.72171177460677,0.9931440924877863
A81_E303_1,AMR_NDM_14.x_NDM40_NDM48,3 | 4,4 | 4,0 | 4,0 | 4,4 | 4,K.pneumoniae-NDM_2146,31.9029293060303,92.325927734375,30.892580509185827,0.0,2.344157105,11.25108294,30.2952518463135,92.18896484375,2 | 2,2 | 2,2 | 2,0 | 2,0 | 2,2 | 2,K.pneumoniae-NDM_2146,27.2826099395752,92.18896484375,27.02249240875245,0.0,3.34277218,23.82999665,26.7623748779297,92.18896484375,1 | 1,2 | 2,2 | 2,0 | 2,0 | 2,2 | 2,K.pneumoniae-NDM_2146,23.8838329315186,92.18896484375,23.86145687103275,0.0,2.02350854,35.72661567,23.8390808105469,92.18896484375,1 | 1,2 | 2,2 | 2,0 | 2,0 | 2,2 | 2,K.pneumoniae-NDM_2146,20.6412887573242,92.18896484375,20.6374816894531,0.90766411,0.0,52.41994566,20.633674621582,92.18896484375,1 | 1,0 | 2,2 | 2,2 | 2,0 | 2,0 | 2,,32.0497627258301,87.1210021972656,32.02860260009765,26.90406325,1.96693988,1.84769403,32.0074424743652,86.8470611572266,1 | 1,0 | 2,0 | 2,2 | 2,0 | 2,2 | 2,,nan,92.5998764038086,nan,36.1963877,1.58465401,0.5437778,nan,92.5998764038086,1 | 1,0 | 2,1 | 2,0 | 2,2 | 2,0 | 2,,34.4948310852051,78.3548126220703,34.4948310852051,0.0,0.0,0.0,34.4948310852051,60.0005989074707,0 | 1,97.13162290175552,0.9976741530135914
A81_E303_1,AMR_NDM_16.x_NDM41_NDM47,0 | 4,4 | 4,0 | 4,1 | 4,4 | 4,K.pneumoniae-NDM_2146,33.6242294311523,92.325927734375,32.726457595825174,0.0,4.52314215,13.741998135,31.4272232055664,92.0519866943359,2 | 2,2 | 2,2 | 2,0 | 2,0 | 2,2 | 2,K.pneumoniae-NDM_2146,28.5556011199951,91.9150161743164,28.5334758758545,0.0,0.0,34.82145164,28.5113506317139,91.9150161743164,1 | 1,2 | 2,2 | 2,0 | 2,0 | 2,2 | 2,K.pneumoniae-NDM_2146,25.4761829376221,91.9150161743164,25.4470376968384,0.0,1.4078516699999999,39.79998981,25.4178924560547,91.9150161743164,1 | 1,2 | 2,2 | 2,0 | 2,0 | 2,2 | 2,K.pneumoniae-NDM_2146,22.201021194458,91.9150161743164,22.18445682525635,0.0,0.0,50.998352499999996,22.1678924560547,91.9150161743164,1 | 1,0 | 2,2 | 2,2 | 2,0 | 2,0 | 2,,32.6692123413086,89.5865020751953,32.6581974029541,59.708563240000004,0.89138673,0.9101030999999999,32.6471824645996,89.5865020751953,1 | 1,0 | 2,0 | 2,2 | 2,0 | 2,0 | 2,,nan,89.5865020751953,nan,4.636145,10.28228245,0.0,nan,89.4495239257812,0 | 1,0 | 2,1 | 2,2 | 2,0 | 2,0 | 2,,33.9270172119141,84.2445983886719,33.9270172119141,0.0,2.9513652299999995,0.0,33.9270172119141,81.0942459106445,0 | 1,94.12486041423749,0.9950669920795057
A81_E303_1,AMR_NDM_18.x_NDM41_NDM49,0 | 4,4 | 4,0 | 4,0 | 4,4 | 4,K.pneumoniae-NDM_2146,32.5776176452637,92.325927734375,32.24142599105838,0.11191014,1.142648575,16.765656659999998,31.8018741607666,92.18896484375,2 | 2,2 | 2,2 | 2,0 | 2,0 | 2,2 | 2,K.pneumoniae-NDM_2146,29.11403465271,92.0519866943359,29.10213279724125,0.0,0.0,31.58129072,29.0902309417725,92.0519866943359,1 | 1,2 | 2,2 | 2,0 | 2,0 | 2,2 | 2,K.pneumoniae-NDM_2146,25.8196296691895,92.0519866943359,25.74356079101565,0.30114271000000004,0.0,46.71137276,25.6674919128418,92.0519866943359,1 | 1,2 | 2,2 | 2,0 | 2,0 | 2,2 | 2,K.pneumoniae-NDM_2146,22.3898754119873,92.0519866943359,22.3879156112671,0.0,0.0,69.11095781,22.3859558105469,92.0519866943359,1 | 1,0 | 2,2 | 2,2 | 2,1 | 2,0 | 2,,39.3755149841309,84.2445983886719,39.33574104309085,0.7749082,2.51620688,0.0,39.2959671020508,83.9706573486328,0 | 1,0 | 2,0 | 2,2 | 2,2 | 2,1 | 2,,nan,91.2301635742188,nan,12.78968674,1.2782266,0.0,nan,90.8192443847656,0 | 1,0 | 2,2 | 2,2 | 2,0 | 2,0 | 2,,33.0035667419434,84.655517578125,32.6618881225586,1.73376007,5.07919394,0.0,32.3202095031738,81.9160766601562,0 | 1,101.26811679291437,0.9997385340152358
A81_E303_1,AMR_NDM_7.x_NDM25_NDM30,0 | 4,4 | 4,0 | 4,0 | 4,4 | 4,K.pneumoniae-NDM_2146,31.9606189727783,92.4629058837891,30.951560497283946,0.0,1.4498235400000001,13.427899700000001,29.7935256958008,92.18896484375,2 | 2,2 | 2,2 | 2,0 | 2,0 | 2,2 | 2,K.pneumoniae-NDM_2146,27.8772678375244,92.18896484375,27.87567710876465,0.0,0.94494959,24.58716603,27.8740863800049,92.0519866943359,1 | 1,2 | 2,2 | 2,0 | 2,0 | 2,2 | 2,K.pneumoniae-NDM_2146,24.9936809539795,92.0519866943359,24.83009147644045,0.0,0.0,33.03219791,24.6665019989014,92.0519866943359,1 | 1,2 | 2,2 | 2,0 | 2,0 | 2,2 | 2,K.pneumoniae-NDM_2146,21.7277812957764,92.0519866943359,21.480782508850098,0.0,0.0,39.14451824,21.2337837219238,92.0519866943359,1 | 1,0 | 2,2 | 2,2 | 2,0 | 2,0 | 2,,33.9510383605957,83.4227676391602,33.61792755126955,17.100938550000002,1.88266936,0.36023342999999997,33.2848167419434,83.2857971191406,1 | 1,0 | 2,1 | 2,2 | 2,0 | 2,0 | 2,,38.6840705871582,89.3125534057617,38.6840705871582,27.40060282,0.0,0.0,38.6840705871582,89.1755828857422,0 | 1,1 | 2,2 | 2,2 | 2,0 | 2,0 | 2,,35.5245895385742,82.0530548095703,31.977181434631348,0.0,3.2903337500000003,0.0,28.4297733306885,81.0942459106445,0 | 1,107.91459445924767,0.999509761995234
A81_E303_2,AMR_NDM_x.10_NDM42_NDM46,0 | 4,4 | 4,0 | 4,1 | 4,4 | 4,K.pneumoniae-NDM_2146,31.0531539916992,92.1705322265625,30.06720304489135,nan,nan,nan,29.4593849182129,92.0336456298828,0 | 0,2 | 2,2 | 2,0 | 2,0 | 2,2 | 2,K.pneumoniae-NDM_2146,26.9984340667725,92.0336456298828,26.50731468200685,nan,nan,nan,26.0161952972412,91.8967590332031,0 | 0,2 | 2,2 | 2,0 | 2,0 | 2,2 | 2,K.pneumoniae-NDM_2146,25.5061168670654,92.0336456298828,25.381254196167,nan,nan,nan,25.2563915252686,91.8967590332031,0 | 0,2 | 2,2 | 2,0 | 2,0 | 2,2 | 2,K.pneumoniae-NDM_2146,22.1600608825684,92.0336456298828,22.0148630142212,nan,nan,nan,21.869665145874,91.8967590332031,0 | 0,0 | 2,2 | 2,0 | 2,2 | 2,0 | 2,,34.4866218566895,77.9341125488281,34.35888290405275,nan,nan,nan,34.231143951416,77.9341125488281,0 | 0,0 | 2,0 | 2,2 | 2,2 | 2,0 | 2,,nan,76.8390045166016,nan,nan,nan,nan,nan,62.6025848388672,0 | 0,0 | 2,2 | 2,2 | 2,0 | 2,0 | 2,,30.4344005584717,80.6718902587891,30.332613945007353,nan,nan,nan,30.230827331543,80.5349960327148,0 | 0,148.6116195234889,0.9666777666760058
